文本,完整模板
太白山	北麓为亚热带常绿阔叶林带,实体信息陈述_0（太白山北麓，为，亚热带常绿阔叶林带）
太白山	北坡山中腰降水量比山麓少,比较_0（太白山北坡山中腰，太白山北坡山麓，降水量，少）
太白山	又密又高的树木在针叶林带,位于_0（太白山又密又高的树木，针叶林带）
太白山	树木大稀大矮处为稀树草原,实体信息陈述_0（太白山树木大稀大矮处，为，稀树草原）
如果过度猎狼，将会	造成山区生物多样性减少,因果_0（过度猎狼，趋势_1（山区，生物多样性，#，减少））
如果过度猎狼，将会	增加山区的环境承载力,因果_0（过度猎狼，趋势_1（山区，环境承载力，#，增加））
如果过度猎狼，将会	导致不良消费观念的形成,因果_0（过度猎狼，导致不良消费观念的形成）
如果过度猎狼，将会	破坏可持续发展的公平性,因果_0（过度猎狼，破坏可持续发展的公平性）
图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	⑥①②,匹配_0（博物馆，⑥）匹配_1（乡镇行政机构，①）匹配_2（集贸市场，②）
图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	⑤③⑥,匹配_0（博物馆，⑤）匹配_1（乡镇行政机构，③）匹配_2（集贸市场，⑥）
图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	③②④,匹配_0（博物馆，③）匹配_1（乡镇行政机构，②）匹配_2（集贸市场，④）
图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	①④⑤,匹配_0（博物馆，①）匹配_1（乡镇行政机构，④）匹配_2（集贸市场，⑤）
图中	甲地陡峻，喀斯特地貌典型,实体信息陈述_0（甲地，#，陡峻）实体信息陈述_1（甲地，喀斯特地貌，典型）
图中	甲地陡峻,实体信息陈述_0（甲地，#，陡峻）
图中	甲地喀斯特地貌典型,实体信息陈述_0（甲地，喀斯特地貌，典型）
图中	乙地低平，泥石流灾害频发,实体信息陈述_0（乙地，#，低平）实体信息陈述_1（乙地，泥石流灾害，频发）
图中	乙地低平,实体信息陈述_0（乙地，#，低平）
图中	乙地泥石流灾害频发,实体信息陈述_0（乙地，泥石流灾害，频发）
图中	丙村比丁村土层深厚,比较_0（丙村，丁村，土层，深厚）
图中	丁村比丙村地下水埋藏浅,比较_0（丁村，丙村，地下水埋藏，浅）
图示地区	地势西高东低、南高北低,实体信息陈述_0（图示地区，地势，西高东低）实体信息陈述_1（图示地区，地势，南高北低）
图示地区	山前平原受外力侵蚀作用明显,影响_0（外力侵蚀作用，图示地区山前平原，#）
图示地区	洪积扇面积差异取决于降水量,因果_0（降水量，图示地区洪积扇面积差异）
图示地区	渠水通过蒸发环节参与水循环,实体信息陈述_0（图示地区渠水，通过蒸发环节参与，水循环）
该优惠政策有助于	游客对旅游目的地进行选择,影响_0（该优惠政策，游客，对旅游目的地进行选择）
该优惠政策有助于	提升当地旅游资源价值,因果_0（该优惠政策，趋势_1（当地旅游资源，价值，#，提升））
该优惠政策有助于	降低游客交通与游览用时的比值,因果_0（该优惠政策，趋势_1（游客，交通与游览用时的比值，#，降低））
该优惠政策有助于	提高旅游服务设施等级,因果_0（该优惠政策，趋势_1（旅游服务设施，等级，#，提高））
