我国目前	因消费量少于生产量，原油可以大量出口
因素关联_0（消费量少于生产量，原油可以大量出口） 因

该作物	种植期的早晚取决于气候条件
因素关联_0(,) 取决-于-
该作物	灌浆期的早晚取决于成土母质
因素关联_0(,) 取决-于-
该作物	收割期的早晚取决于农业政策
因素关联_0(,) 取决-于-

由08时到20时，图中	②地受高压脊控制，天气持续晴朗
因素关联_0(,) ，
该城区地表温度的	高值区变化是气候变暖的结果
因素关联_0(,) 结果
该城区地表温度的	低值区是河流或绿地影响的结果
因素关联_0(,) 结果
该游牧活动	易受飓风灾害侵扰
因素关联_0(该游牧活动,飓风灾害) 易-受-侵扰-
在图示景区的主要自然景观中，	瀑布的落差受径流量控制
因素关联_0(,) 受-控制-

与火电相比，核电	发电量不稳定，受气候影响大
其他陈述_0（核电，发电量，不稳定）因素关联_1（气候，核电） 受
与火电相比，核电	有放射性，易造成空气污染
其他陈述_0（核电，有，放射性）因素关联_1（核电，空气污染） 造成
与火电相比，核电	易造成空气污染
因素关联_0（核电，空气污染） 造成

图3为某地相关资料统计图，该地	受季风环流的影响显著
因素关联_0（季风环流，该地） 受-影响-
图3为某地相关资料统计图，该地	受副热带高压和信风交替控制
因素关联_0（副热带高压和信风交替控制，该地） 受-控制-
图4为某地地质剖面图，该地区	④处岩石受挤压容易被侵蚀
因素关联_0（受挤压容易被侵蚀，该地区④处岩石） 受
图5为某地理事象过程示意图，若	图中F为岩石圈物质循环中的重熔作用，则乙为岩浆岩
因素关联_0（F为岩石圈物质循环中的重熔作用，乙为岩浆岩） 则
图5为某地理事象过程示意图，若	该图为人口迁移示意图，则此过程可缓解甲地人地矛盾
因素关联_0（此过程，缓解甲地人地矛盾） 可
该地区	若布局合理，则主导风向为西南风
因素关联_0（布局合理，主导风向为西南风） 若-则-
图l中，圣若阿金地区	位于东南信风的迎风坡，降水多
因素关联_0(,) ，
图l中，圣若阿金地区	受自南向北的暖流影响，湿度大
因素关联_0(,) ，
绿水	对海陆间循环产生明显影响
因素关联_0（绿水，海陆间循环） 影响

绿水	对湿润地区农业发展至关重要
因素关联_0（绿水，湿润地区农业发展） 对
北京市	春季因升温快，热岛效应最强
因素关联_0（升温快，北京春季热岛效应最强） 因
北京市	冬季盛行西北风降低热岛强度
因素关联_1（北京市冬季盛行西北风，降低热岛强度） null

图示地区	洪积扇面积差异取决于降水量
因素关联_0(,) 取决-于-
该气旋	引发滑坡、赤潮等次生灾害
因素关联_0(,) 引发
据图分析，下列说法正确的是	2001年前城市人口增加主要源于当地农村人口的转化
因素关联_0(,) 源于

关于两次地震，下列说法正确的是	都因岩石圈岩层断裂形成
因素关联_0(,) 因
两次地震的不同结果说明	地震的震级越大造成的灾情越严重
因素关联_0(,) 越-越-
两次地震的不同结果说明	地震灾害大小与建筑物的抗震能力无关
因素关联_0(,) 与-无关-
两次地震的不同结果说明	地震造成的损失程度与人口密度有关
因素关联_0(,) 与-有关-
两次地震的不同结果说明	地震造成的损失程度与经济发展水平相关
因素关联_0(,) 与-相关-
据国家环保部公布的2010年环境年报获知，近半数的监控城市有酸雨，酸雨率为100%的城市主要集中分布在四川、江苏、福建、江西、浙江、上海等省市。下列叙述正确的是	降水量大是上述省市酸雨严重的主要原因
因素关联_0(,) 原因
据国家环保部公布的2010年环境年报获知，近半数的监控城市有酸雨，酸雨率为100%的城市主要集中分布在四川、江苏、福建、江西、浙江、上海等省市。下列叙述正确的是	减少CO2排放是防治酸雨的根本措施
因素关联_0(,) 措施
