图2中①②③三地自然条件相比较	②、③两地均受暖流影响
因素关联_0（暖流影响，②、③两地） 受-影响-
我国目前	因消费量少于生产量，原油可以大量出口
因素关联_0（消费量少于生产量，原油可以大量出口） 因
大理石	因变质作用而形成
因素关联_0（变质作用，大理石形成） 因
大理石	因外力作用而形成
因素关联_0（外力作用，大理石形成） 因
如果该图为海陆间水循环模式，S线代表地球表面，则	环节③使大洋表面海水的盐度降低
因素关联_0（环节③，大洋表面海水的盐度降低） 使
如果该图为世界洋流模式的南半球部分，S线代表纬线，则	洋流①对沿岸气候有降温、减湿作用
因素关联_0（洋流①，沿岸气候有降温、减湿作用） 作用
如果该图为世界洋流模式的南半球部分，S线代表纬线，则	洋流③对沿岸气候有增温、增湿作用
因素关联_0（洋流③，沿岸气候有增温、增湿作用） 作用
该作物	种植期的早晚取决于气候条件
因素关联_0（该作物种植期的早晚，气候条件） 取决
该作物	灌浆期的早晚取决于成土母质
因素关联_0（该作物灌浆期的早晚，成土母质） 取决
该作物	收割期的早晚取决于农业政策
因素关联_0（该作物收割期的早晚，农业政策） 取决
该地区成为著名旅游地的优势在于	地质地貌景观独特，具有较高的游览价值
因素关联_0（地质地貌景观独特，具有较高的游览价值） ，
在海岛开发的过程中，该岛	人口容量最主要受耕地资源、矿产资源限制
因素关联_0（该岛人口容量，耕地资源、矿产资源） 限制
在海岛开发的过程中，该岛	河流入海口处地势开阔，适宜建设深水港
因素关联_0（该岛河流入海口处地势开阔，适宜建设深水港） ，
由08时到20时，图中	②地受高压脊控制，天气持续晴朗
因素关联_0（②地受高压脊控制，天气持续晴朗） 受
该城区地表温度的	高值区变化是气候变暖的结果
因素关联_0（气候变暖，地表温度的高值区变化） 结果
该城区地表温度的	低值区是河流或绿地影响的结果
因素关联_0（河流或绿地，地表温度的低值区） 影响
该城区地表温度的	差异可导致地面风从城区吹向郊区
因素关联_0（地表温度的差异，地面风从城区吹向郊区） 导致
与火电相比，核电	发电量不稳定，受气候影响大
其他陈述_0（核电，发电量，不稳定）因素关联_1（气候，核电） 受
与火电相比，核电	受气候影响大
因素关联_0（气候，核电） 受
与火电相比，核电	有放射性，易造成空气污染
其他陈述_0（核电，有，放射性）因素关联_1（核电，空气污染） 造成
与火电相比，核电	易造成空气污染
因素关联_0（核电，空气污染） 造成
美国旧金山7月份降水少的主要原因	位于背风坡
因素关联_0（位于背风坡，美国旧金山7月份降水少） 原因
美国旧金山7月份降水少的主要原因	受副热带高压控制
因素关联_0（副热带高压控制，美国旧金山7月份降水少） 原因
美国旧金山7月份降水少的主要原因	沿岸寒流经过
因素关联_0（沿岸寒流经过，美国旧金山7月份降水少） 原因
美国旧金山7月份降水少的主要原因	飓风活动少
因素关联_0（飓风活动少，美国旧金山7月份降水少） 原因
图3为某地相关资料统计图，该地	受季风环流的影响显著
因素关联_0（季风环流，该地） 受-影响-
图3为某地相关资料统计图，该地	受副热带高压和信风交替控制
因素关联_0（副热带高压和信风交替控制，该地） 受-控制-
图4为某地地质剖面图，该地区	④处岩石受挤压容易被侵蚀
因素关联_0（受挤压容易被侵蚀，该地区④处岩石） 受
图5为某地理事象过程示意图，若	图中F为岩石圈物质循环中的重熔作用，则乙为岩浆岩
因素关联_0（F为岩石圈物质循环中的重熔作用，乙为岩浆岩） 则
图5为某地理事象过程示意图，若	该图为人口迁移示意图，则此过程可缓解甲地人地矛盾
因素关联_0（此过程，缓解甲地人地矛盾） 可
该地区	若布局合理，则主导风向为西南风
因素关联_0（布局合理，主导风向为西南风） 若-则-
图l中，圣若阿金地区	终年受赤道低压带控制，降水多
因素关联_0（圣若阿金地区终年受赤道低压带控制，降水多） 受
图l中，圣若阿金地区	位于东南信风的迎风坡，降水多
因素关联_0（圣若阿金地区位于东南信风的迎风坡，降水多） ，
图l中，圣若阿金地区	受自南向北的暖流影响，湿度大
因素关联_0（圣若阿金地区受自南向北的暖流影响，湿度大） 影响
图l中，圣若阿金地区	受自南向北的暖流影响
因素关联_0（自南向北的暖流，圣若阿金地区） 影响
绿水	对海陆间循环产生明显影响
因素关联_0（绿水，海陆间循环） 影响
绿水	吸收地面辐射，具有保温作用
因素关联_0（绿水吸收地面辐射，保温作用） 作用
绿水	对湿润地区农业发展至关重要
因素关联_0（绿水，湿润地区农业发展） 对
北京市	春季因升温快，热岛效应最强
因素关联_0（升温快，北京春季热岛效应最强） 因
北京市	冬季盛行西北风降低热岛强度
因素关联_1（北京市冬季盛行西北风，降低热岛强度） null
该生产模式	主要是依靠降水发展种植业
因素关联_0（该生产模式依靠降水，发展种植业） 依靠
图中积雪厚度最大值出现在延吉，主要原因是	受地形影响
因素关联_1（地形影响，延吉） 受-影响-
下列叙述正确的是	①③两地气候深受地形影响
因素关联_0（地形影响，①③两地气候） 影响
下列叙述正确的是	②③两地均位于沿海，降水丰沛
因素关联_0（②③两地均位于沿海，降水丰沛） null
下列叙述正确的是	②④两地位于板块交界处，地震多发
因素关联_0（②④两地位于板块交界处，地震多发） null
喜马拉雅山脉形成的原因是	亚欧板块与非洲板块碰撞，地壳断裂上升
因素关联_0（亚欧板块与非洲板块碰撞，地壳断裂上升） null
喜马拉雅山脉形成的原因是	亚欧板块与非洲板块张裂，地壳断裂下沉
因素关联_0（亚欧板块与非洲板块张裂，地壳断裂下沉） null
喜马拉雅山脉形成的原因是	印度洋板块与亚欧板块碰撞，地壳抬升
因素关联_0（印度洋板块与亚欧板块碰撞，地壳抬升） null
喜马拉雅山脉形成的原因是	印度洋板块与亚欧板块张裂，地壳下沉
因素关联_0（印度洋板块与亚欧板块张裂，地壳下沉） null
成都平原年太阳总辐射量小于青藏高原的主要原因是	受副热带高气压控制
因素关联_0（副热带高气压控制，成都平原年太阳总辐射量小于青藏高原） 受
上海设立我国第一个自由贸易区的原因有	海上交通便利，便于货物运输
因素关联_1（海上交通便利，便于货物运输） 便于
图中两区域民居明显不同，其主要影响因素是	宗教
因素关联_0（宗教，图中两区域民居明显不同） 影响-因素-
图中两区域民居明显不同，其主要影响因素是	气候
因素关联_0（气候，图中两区域民居明显不同） null
图中两区域民居明显不同，其主要影响因素是	河流
因素关联_0（河流，图中两区域民居明显不同） 影响-因素-
图中两区域民居明显不同，其主要影响因素是	地形
因素关联_0（地形，图中两区域民居明显不同） 影响-因素-
该地区	此时受信风带影响
因素关联_0（信风带，该地区） 影响
影响红叶观赏指数的最主要因素是	降水
因素关联_0（降水，红叶观赏指数） 影响
影响红叶观赏指数的最主要因素是	地形
因素关联_0（地形，红叶观赏指数） 影响
影响红叶观赏指数的最主要因素是	风
因素关联_0（风，红叶观赏指数） 影响
影响红叶观赏指数的最主要因素是	气温
因素关联_0（气温，红叶观赏指数） 影响
云南滑坡和泥石流	西部多发与地势起伏大有关
因素关联_0（地势起伏大，云南滑坡和泥石流西部多发） 与-有关-
云南滑坡和泥石流	东部次数少，由于处于喀斯特地貌区
因素关联_0（处于喀斯特地貌区，云南滑坡和泥石流东部次数少） 由于
云南滑坡和泥石流	冬季几乎没有，主要原因是河流断流
因素关联_0（河流断流，云南滑坡和泥石流冬季几乎没有） 原因
冰岛特色旅游资源的形成原因是	位于极圈内，干燥多风
因素关联_0（位于极圈内，干燥多风，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	位于极圈内
因素关联_0（位于极圈内，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	干燥多风
因素关联_0（干燥多风，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	地处高纬，气候寒冷
因素关联_0（地处高纬，气候寒冷，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	地处高纬
因素关联_0（地处高纬，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	气候寒冷
因素关联_0（气候寒冷，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	四面临海，海浪侵蚀
因素关联_0（四面临海，海浪侵蚀，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	四面临海
因素关联_0（四面临海，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	海浪侵蚀
因素关联_0（海浪侵蚀，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	处在板块边界，地壳活跃
因素关联_0（处在板块边界，地壳活跃，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	处在板块边界
因素关联_0（处在板块边界，冰岛特色旅游资源的形成） 原因
冰岛特色旅游资源的形成原因是	地壳活跃
因素关联_0（地壳活跃，冰岛特色旅游资源的形成） 原因
该地区农业生产	机械化水平低，对自然环境不会产生影响
因素关联_0（该地区农业生产机械化水平低，对自然环境不会产生影响） null
根据2000—2010年间人口变化特点，判断下列叙述正确的是	人口变化特点与人口迁移密切相关
因素关联_0（人口变化特点，人口迁移） 密切-相关-
近年来，城市内涝在我国一些大城市相继出现，下列有关城市内涝产生原因的叙述，正确的是	城市地表硬化面积过大，不利于下渗
因素关联_0（城市地表硬化面积过大，不利于下渗） 不利于
关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受准静止锋影响，形成持续降水
因素关联_0（准静止锋，持续降水） 受-影响-
关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受下沉气流影响，降水较多
因素关联_0（下沉气流，比较_1（#，降水，多）） 受-影响- 较
关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受下沉气流影响
因素关联_0（下沉气流，#） 受-影响-
关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受台风影响，形成暴雪
因素关联_0（台风，暴雪） 受-影响-
2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	通过灾害预警评估可以准确获知受灾面积和损失程度
因素关联_0（灾害预警评估，受灾面积） 因素关联_1（灾害预警评估，损失程度） 通过-获知- 通过-获知-
