图2中①②③三地自然条件相比较	②、③两地均受暖流影响,分布_0（②、③两地，图2中①②③三地，均受暖流影响）
图中各点最可能表示世界	主要能源矿产产地,分布_0（主要能源矿产产地，图中各点，高密度）
图中各点最可能表示世界	百万人口以上的城市,分布_0（百万人口以上的城市，图中各点，高密度）
图中各点最可能表示世界	自然和文化遗产地,分布_0（自然和文化遗产，图中各点，高密度）
图中各点最可能表示世界	近10年7级以上地震震中,分布_0（近10年7级以上地震震中，图中各点，高密度）
甲地为峰林，同类景观多出现在	苏,匹配_0（甲地，峰林）分布_1（同类景观，苏，多）
甲地为峰林，同类景观多出现在	湘,匹配_0（甲地，峰林）分布_1（同类景观，湘，多）
甲地为峰林，同类景观多出现在	滇,匹配_0（甲地，峰林）分布_1（同类景观，滇，多）
甲地为峰林，同类景观多出现在	新,匹配_0（甲地，峰林）分布_1（同类景观，新，多）
甲地为峰林，同类景观多出现在	桂,匹配_0（甲地，峰林）分布_1（同类景观，桂，多）
甲地为峰林，同类景观多出现在	内蒙古,匹配_0（甲地，峰林）分布_1（同类景观，内蒙古，多）
各企业集聚在第一代产业园区的主要原因是	共用基础设施,因果_0（共用基础设施，分布_1（各企业，第一代产业园区，集聚））
各企业集聚在第一代产业园区的主要原因是	加强相互竞争,因果_0（加强相互竞争，分布_1（各企业，第一代产业园区，集聚））
各企业集聚在第一代产业园区的主要原因是	靠近原料产地,因果_0（靠近原料产地，分布_1（各企业，第一代产业园区，集聚））
各企业集聚在第一代产业园区的主要原因是	获取邻厂信息,因果_0（获取邻厂信息，分布_1（各企业，第一代产业园区，集聚））
我国已建成的高铁主要布局在	东部沿海地区,分布_0（我国已建成的高铁，东部沿海地区，主要）
我国已建成的高铁主要布局在	我国地势的第二、三级阶梯,分布_0（我国已建成的高铁，我国地势的第二、三级阶梯，主要）
我国已建成的高铁主要布局在	高原和盆地,分布_0（我国已建成的高铁，高原和盆地，主要）
我国已建成的高铁主要布局在	东西部运输量大的地区,分布_0（我国已建成的高铁，东西部运输量大的地区，主要）
该城市工业区的空间分布特征是	靠近铁路线，均匀分布,分布_0（该城市工业区，铁路线，靠近）实体信息陈述_1（该城市工业区，空间分布特征，均匀分布）
该城市工业区的空间分布特征是	集中分布在京杭运河沿线,分布_0（该城市工业区，京杭运河沿线，集中）
该城市工业区的空间分布特征是	集中在城市的南部,分布_0（该城市工业区，城市的南部，集中）
玻利维亚	城市多分布于平原地区,分布_0（玻利维亚城市，平原地区，多）
上海自由贸易区主要分布在	城市道路附近,分布_0（上海自由贸易区，城市道路附近，主要）
上海自由贸易区主要分布在	快速公路交会处,分布_0（上海自由贸易区，快速公路交会处，主要）
上海自由贸易区主要分布在	沿江沿海地区,分布_0（上海自由贸易区，沿江沿海地区，主要）
上海自由贸易区主要分布在	城市中心区,分布_0（上海自由贸易区，城市中心区，主要）
下列关于图中生态功能区分布的叙述，正确的是	主要分布在大江大河流域,分布_0（图中生态功能区，大江大河流域，主要分布）
下列关于图中生态功能区分布的叙述，正确的是	三级地势阶梯上均有分布,分布_0（图中生态功能区，三级地势阶梯，均有分布）
