固结成岩     固结 成岩
高纬度     高 纬度
挖 砂     挖砂
文化业     文化 业
应 对     应对
9 : 00     9:00
建筑业     建筑 业
16 ： 00     16：00
底 层     底层
雨林带     雨林 带
瓦斯爆炸     瓦斯 爆炸
中帕斯     中 帕斯
5.3 ℃     5.3℃
比南坡     比 南坡
向东     向 东
两区域     两 区域
洋流③     洋流 ③
洋流④     洋流 ④
洋流①     洋流 ①
高 新     高新
4.6 ℃     4.6℃
多 雨     多雨
洋流②     洋流 ②
用 于     用于
昼更     昼 更
防风固沙     防风 固沙
地Ⅲ     地 Ⅲ
所 在     所在
海 上     海上
水土流失     水土 流失
黄 山     黄山
速度快     速度 快
发布会     发布 会
湿 地     湿地
借助于     借助 于
达 到     达到
同 类     同类
先增     先 增
第 19     第19
一 条     一条
省 区     省区
欧经济     欧 经济
第 16     第16
黄土高原     黄土 高原
角小     角 小
休闲游     休闲 游
互 换     互换
12 ： 00     12：00
最 优     最优
全 市     全市
进 入     进入
最佳     最 佳
间 距     间距
长到     长 到
西临     西 临
大气逆     大气 逆
河 流     河流
全 年     全年
常受     常 受
总人口     总 人口
比巴西短     比 巴西 短
高气压     高 气压
人少     人 少
用点     用 点
渤海湾     渤海 湾
一 群     一群
临江     临 江
网点聚集     网点 聚集
偏 多     偏多
有喀斯特     有 喀斯特
水资源     水 资源
郑州—     郑州 —
较 少     较少
各自然带     各 自然带
台风多     台风 多
略长     略 长
甲 类     甲类
夏翠     夏 翠
东低     东 低
花 开     花开
湿润区     湿润 区
昼半球     昼 半球
风吹拂     风 吹拂
热液区     热液 区
根 据     根据
南流     南 流
冬银     冬 银
受准     受 准
副热带     副 热带
热来源     热 来源
0.5S2     0.5 S2
水 陆     水陆
光热     光 热
有京     有 京
不 均     不均
取决于     取决 于
极 昼     极昼
各 国     各国
31 分     31分
南递减     南 递减
Ⅱ到     Ⅱ 到
图 乙     图乙
外流区     外 流区
受自     受 自
气温低     气温 低
沙漠带     沙漠 带
到 达     到达
少雨     少 雨
指地表     指 地表
年降水量     年 降水量
岩浆侵入     岩浆 侵入
丙 类     丙类
两 地     两地
人 造     人造
风小     风 小
0 ℃     0℃
汽 车     汽车
过快     过 快
灾害链     灾害 链
昼 长     昼长
气压比     气压 比
大 洋     大洋
西高     西 高
同 期     同期
中库尔勒     中 库尔勒
3.4 ℃     3.4℃
京九     京 九
消 费     消费
昼短     昼 短
—堆积     — 堆积
玻利维亚多     玻利维亚 多
气温高     气温 高
两 季     两季
1963年时     1963年 时
不 足     不足
用 时     用时
秋冬     秋 冬
2300万年     2300万 年
1km     1 km
大 风     大风
流 域     流域
京广     京 广
多火山     多 火山
据图     据 图
辐射强     辐射 强
自东     自 东
使气温     使 气温
秋金     秋 金
北递增     北 递增
向南     向 南
中巴     中 巴
铁路线     铁路 线
特点是     特点 是
对 应     对应
衔远山     衔 远山
40 分     40分
防风沙     防 风沙
零 时     零时
可持续     可 持续
跨陕     跨 陕
冬冷     冬 冷
丁 省     丁省
乙 河     乙河
12小时     12 小时
下到     下 到
由 此     由此
侵蚀搬运     侵蚀 搬运
企 业     企业
10 ： 00     10：00
气压低     气压 低
人口数量     人口 数量
省 内     省内
河 水     河水
两 极     两极
多 年     多年
造成基带     造成 基带
对 此     对此
图 内     图内
总的     总 的
喀什是     喀什 是
最 先     最先
柱子旁     柱子 旁
变暖     变 暖
夏热     夏 热
年代早     年代 早
几 组     几组
上 海     上海
年平均     年 平均
极 大     极大
对 图     对图
地月     地 月
图 甲     图甲
丁 村     丁村
排水不畅     排水 不 畅
水循环     水 循环
我 国     我国
则 甲     则甲
图 示     图示
地壳抬升     地壳 抬升
天时     天 时
监测点分布     监测点 分布
为 由     为由
西海岸     西 海岸
2S2     2 S2
退工     退 工
震后     震 后
雾大     雾 大
多发     多 发
B地空气     B地 空气
超 过     超过
中随     中 随
七 下     七下
应防     应 防
沿图     沿 图
家 电     家电
关 于     关于
西高东     西 高 东
东邻     东 邻
高高低     高 高 低
岛 内     岛内
生成于     生成 于
左 图     左图
防暴雨     防 暴雨
甲 图     甲图
所 示     所示
甲 省     甲省
用手     用 手
丙 村     丙村
0 : 30     0:30
甲 国     甲国
出 现     出现
处 在     处在
面海     面 海
丘陵区     丘陵 区
28° 30 ′ N     28°30′N
高到     高 到
抵湘     抵 湘
夏之交     夏 之交
春翡     春 翡
离岸     离 岸
横无际涯     横无 际涯
气温日     气温 日
江南某     江南 某
观测点中     观测点 中
夜短     夜 短
甲 村     甲村
和瓦斯     和 瓦斯
气压高     气压 高
西向     西 向
零售业     零售 业
南高     南 高
中缅     中 缅
多曲流     多曲 流
常 绿     常绿
表 中     表中
高西部     高 西部
地势高     地势 高
汛期长     汛期 长
中 和     中和
阶 段     阶段
用 水     用水
——     — —
草原带     草原 带
以情     以 情
该 市     该市
特点可知     特点 可 知
针叶林带     针叶林 带
高度角     高度 角
21 : 00     21:00
墙角处     墙角 处
高压带     高压 带
比巴西早     比 巴西 早
22 ： 00     22：00
峰林型     峰林 型
大 河     大河
一 方     一方
渔五业     渔 五 业
⑥ 地     ⑥地
西风带     西风 带
80° 42′ W     80°42′W
少油     少 油
日后     日 后
裂隙—     裂隙 —
高 寒     高寒
昼长     昼 长
更 好     更好
地点变化     地点 变化
表中     表 中
两 端     两端
夜渐长     夜 渐 长
中 甲     中甲
立体农业     立体 农业
8 ： 00     8：00
大 江     大江
服务业     服务 业
旅游业     旅游 业
数南美洲     数 南美洲
下南洋     下 南洋
沿某     沿 某
多风     多 风
临南海     临 南海
多 发     多发
正 向     正向
沿古     沿 古
外星系     外 星系
16 : 30     16:30
相 距     相距
投 资     投资
东风带     东风 带
富煤     富 煤
20 世 纪     20世纪
河流短     河流 短
护头     护 头
知湘     知 湘
北低     北 低
躲 在     躲在
向多     向 多
为利     为 利
时 间     时间
埋藏浅     埋藏 浅
处 于     处于
变小     变 小
中 低     中低
1.5S2     1.5 S2
旧换新     旧 换 新
—吉林     — 吉林
甲地喀斯特     甲地 喀斯特
管 网     管网
4 ： 00     4：00
50-70年代     50 - 70 年代
赣北部     赣 北部
海 区     海区
森林带     森林 带
自西部     自 西部
E处气温     E处 气温
位 于     位于
距 今     距今
化害     化 害
昼渐     昼 渐
某 地     某地
最 小     最小
高 山     高山
新能源     新 能源
南可     南 可
48 分     48分
全 国     全国
三 级     三级
京沪     京 沪
最大值     最 大 值
城 市     城市
全 省     全省
发达区     发达 区
稠密区     稠密 区
向西     向 西
判 断     判断
信风带     信风 带
11 : 30     11:30
南向     南 向
59 分     59分
适 中     适中
三 圈     三圈
—风化     — 风化
港珠     港 珠
丙 省     丙省
不 变     不变
正点准时     正点 准时
西递减     西 递减
跨粤     跨 粤
6 : 30     6:30
6 ： 00     6：00
吸引半径     吸引 半径
如图所示     如 图 所 示
和蛋     和 蛋
人口老龄化     人口 老龄化
海 底     海底
峡谷型     峡谷 型
旁或者     旁 或者
适用于     适用 于
北坡山     北坡 山
短且     短 且
环节②     环节 ②
57 秒     57秒
环节③     环节 ③
环节①     环节 ①
生物多样性     生物 多样性
乙 国     乙国
北向     北 向
乙 图     乙图
太阳远     太阳 远
环节④     环节 ④
最高     最 高
丝绸之路     丝绸 之 路
季雨林带     季雨林 带
乙 省     乙省
小 于     小于
变 大     变大
夜长     夜 长
交界处     交界 处
千 米     千米
不 堪     不堪
